run_group,run_id,model,condition,em,f1,contains_answer_rate,faithfulness_score,context_precision,hallucination_proxy,refusal_rate,count,oracle_answer_presence_at_k,mixed_answer_presence_at_k,k,mode
qwen3_4b,20260413T041908Z_684d0ce4,Qwen3-4B-Instruct,non_rag,0.006,0.061769625281457685,0.045,0.0,0.0,1.0,0.011,1000,0.99,0.364,5,mirage_fixed
qwen3_4b,20260413T041908Z_684d0ce4,Qwen3-4B-Instruct,rag_docs,0.207,0.4680782993670839,0.866,0.813519754582255,0.987,0.18648024541774572,0.0,1000,0.99,0.364,5,mirage_fixed
qwen3_4b,20260413T041908Z_684d0ce4,Qwen3-4B-Instruct,rag_mixed_docs,0.079,0.16706763728013066,0.3,0.38200996099201795,0.3814999999999965,0.6179900390079819,0.0,1000,0.99,0.364,5,mirage_fixed
llama32_3b,20260413T041908Z_428ed272,Llama-3.2-3B-Instruct,non_rag,0.012,0.06802284445222952,0.03,0.0,0.0,1.0,0.001,1000,0.99,0.364,5,mirage_fixed
llama32_3b,20260413T041908Z_428ed272,Llama-3.2-3B-Instruct,rag_docs,0.389,0.5907464561473394,0.869,0.8712373655473185,0.987,0.12876263445268205,0.0,1000,0.99,0.364,5,mirage_fixed
llama32_3b,20260413T041908Z_428ed272,Llama-3.2-3B-Instruct,rag_mixed_docs,0.122,0.1961395901648524,0.27,0.41705556605452804,0.3814999999999965,0.5829444339454719,0.0,1000,0.99,0.364,5,mirage_fixed
phi3mini,20260413T042009Z_e5f6f90b,Phi-3-Mini-4K-Instruct,non_rag,0.014,0.07415539892030314,0.041,0.0,0.0,1.0,0.044,1000,0.99,0.364,5,mirage_fixed
phi3mini,20260413T042009Z_e5f6f90b,Phi-3-Mini-4K-Instruct,rag_docs,0.391,0.5933541076276416,0.871,0.896043442721301,0.987,0.10395655727869905,0.0,1000,0.99,0.364,5,mirage_fixed
phi3mini,20260413T042009Z_e5f6f90b,Phi-3-Mini-4K-Instruct,rag_mixed_docs,0.106,0.18936387585141357,0.251,0.6107206329936216,0.3814999999999965,0.38927936700637833,0.004,1000,0.99,0.364,5,mirage_fixed
gemma_7b,20260413T042041Z_e2e8afe4,Gemma-7B-It,non_rag,0.0,0.021075641627646226,0.017,0.0,0.0,1.0,0.602,1000,0.99,0.364,5,mirage_fixed
gemma_7b,20260413T042041Z_e2e8afe4,Gemma-7B-It,rag_docs,0.0,0.20212107979154603,0.773,0.5661994739922738,0.987,0.4338005260077253,0.151,1000,0.99,0.364,5,mirage_fixed
gemma_7b,20260413T042041Z_e2e8afe4,Gemma-7B-It,rag_mixed_docs,0.0,0.047032634457328915,0.13,0.3731850237864008,0.3814999999999965,0.6268149762135986,0.814,1000,0.99,0.364,5,mirage_fixed
deepseek_r1d_qwen7b,20260413T042109Z_db573aee,DeepSeek-R1-Distill-Qwen-7B,non_rag,0.0,0.0062706078388310976,0.043,0.0,0.0,1.0,0.156,1000,0.99,0.364,5,mirage_fixed
deepseek_r1d_qwen7b,20260413T042109Z_db573aee,DeepSeek-R1-Distill-Qwen-7B,rag_docs,0.0,0.032421470772539644,0.926,0.4603029592628881,0.987,0.5396970407371118,0.057,1000,0.99,0.364,5,mirage_fixed
deepseek_r1d_qwen7b,20260413T042109Z_db573aee,DeepSeek-R1-Distill-Qwen-7B,rag_mixed_docs,0.0,0.013065175288367547,0.29,0.49584036302469203,0.3814999999999965,0.5041596369753081,0.135,1000,0.99,0.364,5,mirage_fixed
mistral7b_v03,20260413T042109Z_e7474b27,Mistral-7B-Instruct-v0.3,non_rag,0.001,0.05470179579148712,0.08,0.0,0.0,1.0,0.004,1000,0.99,0.364,5,mirage_fixed
mistral7b_v03,20260413T042109Z_e7474b27,Mistral-7B-Instruct-v0.3,rag_docs,0.373,0.5824105545980044,0.892,0.8745728002173954,0.987,0.12542719978260516,0.0,1000,0.99,0.364,5,mirage_fixed
mistral7b_v03,20260413T042109Z_e7474b27,Mistral-7B-Instruct-v0.3,rag_mixed_docs,0.096,0.18452276665039322,0.289,0.5450866493901222,0.3814999999999965,0.45491335060987825,0.0,1000,0.99,0.364,5,mirage_fixed
